issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,12,299219,11,278820,2.3498834545961035e-05
overlap,32,587556,26,507961,0.0028029590208000672
overlap,32,3403,26,507960,0.0032988309658326972
overlap,75,155764,62,145150,0.008416026966508339
overlap,98,2728,80,2546,0.0005468614349193155
overlap,108,349488,90,325804,0.0036875130044410342
overlap,160,555237,137,506921,0.0065308515335910896
overlap,252,543685,217,506151,0.010401988751061499
overlap,252,361857,217,534669,4.344155968283303e-08
overlap,309,516318,266,516478,0.009881730765439785
overlap,309,290097,266,270298,0.0027709383752238474
overlap,309,119290,266,535077,0.009855249717568633
overlap,381,536616,333,500130,0.0014804934120746793
overlap,407,464687,355,433516,9.439495593687851e-05
overlap,420,287651,368,267995,0.0004282951484411246
overlap,501,282527,445,263201,0.0013803256067550507
overlap,509,1312723,452,512173,0.00016097302954535983
overlap,509,523865,452,488353,0.001625447302799318
overlap,638,389757,576,363557,0.34247842271739803
overlap,638,259480,576,241717,1.9800532885583255e-05
overlap,638,475860,576,443912,0.0037191713417198177
overlap,642,368250,580,343339,1.5992750475646517e-05
overlap,652,429854,590,401115,3.4590369770418555e-05
overlap,708,537831,640,501219,0.00015043674440897887
overlap,725,536960,654,500439,0.0003027572829575149
overlap,809,11031,731,10269,0.00018942131365245595
overlap,853,575837,772,518515,0.00011554926582353056
overlap,858,135857,777,126606,0.0025440848800570848
overlap,863,103417,781,96266,0.0064157255518306755
overlap,881,531130,799,495069,0.002559142970711956
overlap,893,580293,811,507706,0.009015153910809204
overlap,942,454422,859,424019,0.003725548451677163
overlap,945,38400,862,35802,0.002447165483353805
overlap,948,26135,865,24382,0.00405499638153195
overlap,972,479258,888,447061,0.0014308060188058316
overlap,1061,58522,972,54496,0.0005555280520694149
overlap,1082,295105,992,274984,0.0006933469640543755
overlap,1130,255993,1035,238485,0.000627900205993015
overlap,1174,78126,1078,72754,0.059531806910914954
overlap,1255,5765,1156,5368,0.0006460611708121178
overlap,1258,3091,1159,2879,0.0034209421058472075
overlap,1258,28739,1159,26815,0.00010965609598602433
overlap,1263,201375,1163,187623,0.00031541170861881795
overlap,1282,189463,1181,176516,0.0010757370040721526
overlap,1302,265470,1200,247315,0.004720358353440093
overlap,1337,590058,1233,508031,0.0012140188683114682
overlap,1447,242956,1337,529701,2.1791262951597842e-05
overlap,1539,254983,1428,237537,0.0010245953619351625
overlap,1637,522473,1516,487051,0.007031911077746145
overlap,1662,416398,1541,388531,0.00016272901452804535
overlap,371129,54958,1566,51188,0.0014566860347571264
overlap,371129,809629,1566,509275,0.009915154497647904
overlap,1703,450350,1581,420236,0.00020624466510227486
overlap,1703,391124,1581,364831,8.36050419169639e-05
overlap,1753,298651,1629,278290,0.00014947253258107673
overlap,1753,77948,1629,72588,1.394436388627078e-06
overlap,1776,609694,1650,508415,0.014989881575925266
overlap,1796,2596,1667,2422,0.001894284639078121
overlap,1817,137092,1687,127737,0.0002583400859447328
overlap,1817,90138,1687,83932,0.0024024951977976395
overlap,1823,185997,1693,173314,7.391458793459815e-05
overlap,1823,304304,1693,283564,6.266497451876162e-05
overlap,1823,60393,1693,56233,0.0006178663133697457
overlap,1823,161444,1693,150468,0.002847385077116016
overlap,1823,189680,1693,176720,0.0006078882655305445
overlap,1832,160558,1702,149635,0.0031780832968290183
overlap,1832,10344,1702,9636,0.004966784183935224
overlap,1832,504664,1702,470628,0.006309791885355754
overlap,1841,371278,1710,346175,0.006238323194444246
overlap,1858,555237,1725,506921,0.0028835011011096867
overlap,1870,334345,1735,311642,0.003941242203888247
overlap,1886,412213,1751,384599,0.001233741226778549
overlap,1886,1474089,1751,545911,0.00026565169593042515
overlap,1886,453923,1751,423560,0.0010854779767512923
overlap,1944,299219,1802,278820,3.71225130777475e-05
overlap,1979,137100,1837,127745,0.0111095787951635
overlap,2005,1475358,1859,547183,8.619388901676128e-06
overlap,2005,1475357,1859,547182,2.4496001719508017e-05
overlap,2091,277301,1943,258317,0.024116514166001378
overlap,2151,149048,2002,528770,8.512505914026747e-05
overlap,2186,364262,2036,339625,0.00010417138281880239
overlap,2216,476293,2064,444308,0.0007293319514201853
overlap,2311,93311,2150,86883,0.0006952645971356794
overlap,2311,149960,2150,139716,0.0017881149372364936
overlap,2347,24055,2185,22442,0.0004331783917883183
overlap,2369,290831,2206,270991,5.406961091139422
overlap,2380,538639,2217,501904,0.0007000730700288949
overlap,2450,1475223,2282,547040,5.214977017453887e-05
overlap,2450,475140,2282,443252,0.00012746393185736338
overlap,2472,48984,2304,543388,0.001476230767390346
overlap,2472,489,2304,543385,4.8740956771098354e-05
overlap,2492,327153,2322,304907,3.6590432016270766e-06
overlap,2522,417876,2352,389904,0.0017628882183675643
overlap,2596,166673,2422,155317,4.121594181767207e-08
overlap,2596,246596,2422,229684,2.2920184349504633e-05
overlap,2596,281616,2422,262364,0.0008384658856952498
overlap,2620,376174,2446,350798,0.0002581546104568182
overlap,2638,150941,2463,140633,0.00025534355398736206
overlap,2691,503684,2510,469722,0.006866447323392656
overlap,2708,541751,2526,504512,0.000432098434636458
overlap,2737,360024,2555,335670,2.3509498145570185e-05
overlap,2746,308823,2563,287788,0.00422812419751032
overlap,2846,522600,2657,487168,0.002108957286614958
overlap,2890,451980,2697,535831,0.0005647912054220626
overlap,2905,582691,2709,507845,1.6020223986407383e-05
overlap,2940,259786,2742,242001,0.00039258196080166027
overlap,2944,37214,2746,34711,0.004417288245374351
overlap,2950,192938,2752,179767,0.00018843785794851574
overlap,3002,538551,2802,501840,0.0001454308679290072
overlap,3003,269051,2803,250631,0.0014794654838521538
overlap,3014,539768,2812,502882,0.0004850520235326881
overlap,3190,406127,2969,378899,6.538445166744122e-05
overlap,3190,69215,2969,64459,0.002596448788727007
overlap,3191,143465,2970,133689,0.0009773180360397593
overlap,3254,230499,3030,214786,0.0014978692372880416
overlap,3259,543042,3034,505622,0.0022628575776424825
overlap,3307,70134,3080,65317,0.000153184803190035
overlap,3311,148028,3084,137906,0.0003071774631888026
overlap,3416,295653,3177,275500,0.0054996750756504
overlap,3511,340108,3264,534207,0.0059366614738122344
overlap,3531,537831,3282,501219,0.0026192248660768798
overlap,3554,132063,3303,123025,0.0028798568583607853
overlap,3570,37687,3318,35150,0.0003628973056070071
overlap,3579,406182,3326,378953,0.0012127223586961833
overlap,3595,473724,3342,441939,3.93924950661218e-06
overlap,3595,293312,3342,273317,0.0009542436285983058
overlap,3595,408478,3342,381104,0.0009541499486107899
overlap,3595,40834,3342,38075,0.0007165257959465676
overlap,3660,555237,3402,506921,0.012884552601576615
overlap,3669,540048,3411,503103,3.703885298402966e-05
overlap,3749,490841,3489,457812,0.0009223014451862355
overlap,3793,6022,3529,517100,0.00011418148225639948
overlap,3845,530280,3578,494284,0.01922691505359021
overlap,3845,230906,3578,215159,0.0059894372799149664
overlap,3856,536644,3589,534258,0.0020164280739711853
overlap,3909,39183,3636,36533,1.535556406393184e-05
overlap,3936,308061,3662,287081,0.002433927674543434
overlap,3959,267046,3680,248774,0.001216289082342184
overlap,4006,196639,3721,183228,0.001543353513099554
overlap,4028,496534,3740,463116,0.00047393031468345725
